Bankya,42.7000,23.1333,Bulgaria,BG,Sofia,,11233,11233
Knezha,43.5000,24.0833,Bulgaria,BG,Vratsa,minor,11124,11124
Elhovo,42.1719,26.5658,Bulgaria,BG,Yambol,,10929,10929
Omurtag,43.1072,26.4192,Bulgaria,BG,Targovishte,,10825,10825
Tutrakan,44.0481,26.6044,Bulgaria,BG,Silistra,minor,10370,10370
Ardino,41.5833,25.1333,Bulgaria,BG,Kardzhali,,10336,10336
Lukovit,43.2061,24.1631,Bulgaria,BG,Lovech,,10316,10316
Teteven,42.9167,24.2667,Bulgaria,BG,Lovech,,10279,10279
Kubrat,43.7967,26.5011,Bulgaria,BG,Razgrad,minor,10011,10011
Tryavna,42.8667,25.4919,Bulgaria,BG,Gabrovo,,9634,9634
